ken_code,sityouson_code,tiiki_code,ken_name,sityouson_name1,sityouson_name2,sityouson_name3,yomigana
01,000,01000,北海道,,,,ほっかいどう
01,100,01100,北海道,札幌市,,,さっぽろし
01,101,01101,北海道,札幌市,,中央区,ちゅうおうく
01,102,01102,北海道,札幌市,,北区,きたく
01,103,01103,北海道,札幌市,,東区,ひがしく
01,104,01104,北海道,札幌市,,白石区,しろいしく
01,105,01105,北海道,札幌市,,豊平区,とよひらく
01,106,01106,北海道,札幌市,,南区,みなみく
01,107,01107,北海道,札幌市,,西区,にしく
01,108,01108,北海道,札幌市,,厚別区,あつべつく
01,109,01109,北海道,札幌市,,手稲区,ていねく
01,110,01110,北海道,札幌市,,清田区,きよたく
01,202,01202,北海道,,,函館市,はこだてし
01,203,01203,北海道,,,小樽市,おたるし
01,204,01204,北海道,,,旭川市,あさひかわし
01,205,01205,北海道,,,室蘭市,むろらんし
01,206,01206,北海道,,,釧路市,くしろし
01,207,01207,北海道,,,帯広市,おびひろし
01,208,01208,北海道,,,北見市,きたみし
01,209,01209,北海道,,,夕張市,ゆうばりし
01,210,01210,北海道,,,岩見沢市,いわみざわし
01,211,01211,北海道,,,網走市,あばしりし
01,212,01212,北海道,,,留萌市,るもいし
01,213,01213,北海道,,,苫小牧市,とまこまいし
01,214,01214,北海道,,,稚内市,わっかないし
01,215,01215,北海道,,,美唄市,びばいし
01,216,01216,北海道,,,芦別市,あしべつし
01,217,01217,北海道,,,江別市,えべつし
01,218,01218,北海道,,,赤平市,あかびらし
01,219,01219,北海道,,,紋別市,もんべつし
01,220,01220,北海道,,,士別市,しべつし
01,221,01221,北海道,,,名寄市,なよろし
01,222,01222,北海道,,,三笠市,みかさし
01,223,01223,北海道,,,根室市,ねむろし
01,224,01224,北海道,,,千歳市,ちとせし
01,225,01225,北海道,,,滝川市,たきかわし
01,226,01226,北海道,,,砂川市,すながわし
01,227,01227,北海道,,,歌志内市,うたしないし
01,228,01228,北海道,,,深川市,ふかがわし
01,229,01229,北海道,,,富良野市,ふらのし
01,230,01230,北海道,,,登別市,のぼりべつし
01,231,01231,北海道,,,恵庭市,えにわし
01,233,01233,北海道,,,伊達市,だてし
01,234,01234,北海道,,,北広島市,きたひろしまし
01,235,01235,北海道,,,石狩市,いしかりし
01,236,01236,北海道,,,北斗市,ほくとし
01,300,01300,北海道,石狩振興局,,,いしかりしんこうきょく
01,303,01303,北海道,石狩振興局,,当別町,とうべつちょう
01,304,01304,北海道,石狩振興局,,新篠津村,しんしのつむら
01,330,01330,北海道,渡島総合振興局,,,おしまそうごうしんこうきょく
01,331,01331,北海道,渡島総合振興局,,松前町,まつまえちょう
01,332,01332,北海道,渡島総合振興局,,福島町,ふくしまちょう
01,333,01333,北海道,渡島総合振興局,,知内町,しりうちちょう
01,334,01334,北海道,渡島総合振興局,,木古内町,きこないちょう
01,337,01337,北海道,渡島総合振興局,,七飯町,ななえちょう
01,343,01343,北海道,渡島総合振興局,,鹿部町,しかべちょう
01,345,01345,北海道,渡島総合振興局,,森町,もりまち
01,346,01346,北海道,渡島総合振興局,,八雲町,やくもちょう
01,347,01347,北海道,渡島総合振興局,,長万部町,おしゃまんべちょう
01,360,01360,北海道,檜山振興局,,,ひやましんこうきょく
01,361,01361,北海道,檜山振興局,,江差町,えさしちょう
01,362,01362,北海道,檜山振興局,,上ノ国町,かみのくにちょう
01,363,01363,北海道,檜山振興局,,厚沢部町,あっさぶちょう
01,364,01364,北海道,檜山振興局,,乙部町,おとべちょう
01,367,01367,北海道,檜山振興局,,奥尻町,おくしりちょう
01,370,01370,北海道,檜山振興局,,今金町,いまかねちょう
01,371,01371,北海道,檜山振興局,,せたな町,せたなちょう
01,390,01390,北海道,後志総合振興局,,,しりべしそうごうしんこうきょく
01,391,01391,北海道,後志総合振興局,,島牧村,しままきむら
01,392,01392,北海道,後志総合振興局,,寿都町,すっつちょう
01,393,01393,北海道,後志総合振興局,,黒松内町,くろまつないちょう
01,394,01394,北海道,後志総合振興局,,蘭越町,らんこしちょう
01,395,01395,北海道,後志総合振興局,,ニセコ町,にせこちょう
01,396,01396,北海道,後志総合振興局,,真狩村,まっかりむら
01,397,01397,北海道,後志総合振興局,,留寿都村,るすつむら
01,398,01398,北海道,後志総合振興局,,喜茂別町,きもべつちょう
01,399,01399,北海道,後志総合振興局,,京極町,きょうごくちょう
01,400,01400,北海道,後志総合振興局,,倶知安町,くっちゃんちょう
01,401,01401,北海道,後志総合振興局,,共和町,きょうわちょう
01,402,01402,北海道,後志総合振興局,,岩内町,いわないちょう
01,403,01403,北海道,後志総合振興局,,泊村,とまりむら
01,404,01404,北海道,後志総合振興局,,神恵内村,かもえないむら
01,405,01405,北海道,後志総合振興局,,積丹町,しゃこたんちょう
01,406,01406,北海道,後志総合振興局,,古平町,ふるびらちょう
01,407,01407,北海道,後志総合振興局,,仁木町,にきちょう
01,408,01408,北海道,後志総合振興局,,余市町,よいちちょう
01,409,01409,北海道,後志総合振興局,,赤井川村,あかいがわむら
01,420,01420,北海道,空知総合振興局,,,そらちそうごうしんこうきょく
01,423,01423,北海道,空知総合振興局,,南幌町,なんぽろちょう
01,424,01424,北海道,空知総合振興局,,奈井江町,ないえちょう
01,425,01425,北海道,空知総合振興局,,上砂川町,かみすながわちょう
01,427,01427,北海道,空知総合振興局,,由仁町,ゆにちょう
01,428,01428,北海道,空知総合振興局,,長沼町,ながぬまちょう
01,429,01429,北海道,空知総合振興局,,栗山町,くりやまちょう
01,430,01430,北海道,空知総合振興局,,月形町,つきがたちょう
01,431,01431,北海道,空知総合振興局,,浦臼町,うらうすちょう
01,432,01432,北海道,空知総合振興局,,新十津川町,しんとつかわちょう
01,433,01433,北海道,空知総合振興局,,妹背牛町,もせうしちょう
01,434,01434,北海道,空知総合振興局,,秩父別町,ちっぷべつちょう
01,436,01436,北海道,空知総合振興局,,雨竜町,うりゅうちょう
01,437,01437,北海道,空知総合振興局,,北竜町,ほくりゅうちょう
01,438,01438,北海道,空知総合振興局,,沼田町,ぬまたちょう
01,450,01450,北海道,上川総合振興局,,,かみかわそうごうしんこうきょく
01,452,01452,北海道,上川総合振興局,,鷹栖町,たかすちょう
01,453,01453,北海道,上川総合振興局,,東神楽町,ひがしかぐらちょう
01,454,01454,北海道,上川総合振興局,,当麻町,とうまちょう
01,455,01455,北海道,上川総合振興局,,比布町,ぴっぷちょう
01,456,01456,北海道,上川総合振興局,,愛別町,あいベつちょう
01,457,01457,北海道,上川総合振興局,,上川町,かみかわちょう
01,458,01458,北海道,上川総合振興局,,東川町,ひがしかわちょう
01,459,01459,北海道,上川総合振興局,,美瑛町,びえいちょう
01,460,01460,北海道,上川総合振興局,,上富良野町,かみふらのちょう
01,461,01461,北海道,上川総合振興局,,中富良野町,なかふらのちょう
01,462,01462,北海道,上川総合振興局,,南富良野町,みなみふらのちょう
01,463,01463,北海道,上川総合振興局,,占冠村,しむかっぷむら
01,464,01464,北海道,上川総合振興局,,和寒町,わっさむちょう
01,465,01465,北海道,上川総合振興局,,剣淵町,けんぶちちょう
01,468,01468,北海道,上川総合振興局,,下川町,しもかわちょう
01,469,01469,北海道,上川総合振興局,,美深町,びふかちょう
01,470,01470,北海道,上川総合振興局,,音威子府村,おといねっぷむら
01,471,01471,北海道,上川総合振興局,,中川町,なかがわちょう
01,472,01472,北海道,上川総合振興局,,幌加内町,ほろかないちょう
01,480,01480,北海道,留萌振興局,,,るもいしんこうきょく
01,481,01481,北海道,留萌振興局,,増毛町,ましけちょう
01,482,01482,北海道,留萌振興局,,小平町,おびらちょう
01,483,01483,北海道,留萌振興局,,苫前町,とままえちょう
01,484,01484,北海道,留萌振興局,,羽幌町,はぼろちょう
01,485,01485,北海道,留萌振興局,,初山別村,しょさんべつむら
01,486,01486,北海道,留萌振興局,,遠別町,えんべつちょう
01,487,01487,北海道,留萌振興局,,天塩町,てしおちょう
01,510,01510,北海道,宗谷総合振興局,,,そうやそうごうしんこうきょく
01,511,01511,北海道,宗谷総合振興局,,猿払村,さるふつむら
01,512,01512,北海道,宗谷総合振興局,,浜頓別町,はまとんべつちょう
01,513,01513,北海道,宗谷総合振興局,,中頓別町,なかとんべつちょう
01,514,01514,北海道,宗谷総合振興局,,枝幸町,えさしちょう
01,516,01516,北海道,宗谷総合振興局,,豊富町,とよとみちょう
01,517,01517,北海道,宗谷総合振興局,,礼文町,れぶんちょう
01,518,01518,北海道,宗谷総合振興局,,利尻町,りしりちょう
01,519,01519,北海道,宗谷総合振興局,,利尻富士町,りしりふじちょう
01,520,01520,北海道,宗谷総合振興局,,幌延町,ほろのべちょう
01,540,01540,北海道,オホーツク総合振興局,,,おほーつくそうごうしんこうきょく
01,543,01543,北海道,オホーツク総合振興局,,美幌町,びほろちょう
01,544,01544,北海道,オホーツク総合振興局,,津別町,つべつちょう
01,545,01545,北海道,オホーツク総合振興局,,斜里町,しゃりちょう
01,546,01546,北海道,オホーツク総合振興局,,清里町,きよさとちょう
01,547,01547,北海道,オホーツク総合振興局,,小清水町,こしみずちょう
01,549,01549,北海道,オホーツク総合振興局,,訓子府町,くんねっぷちょう
01,550,01550,北海道,オホーツク総合振興局,,置戸町,おけとちょう
01,552,01552,北海道,オホーツク総合振興局,,佐呂間町,さろまちょう
01,555,01555,北海道,オホーツク総合振興局,,遠軽町,えんがるちょう
01,559,01559,北海道,オホーツク総合振興局,,湧別町,ゆうべつちょう
01,560,01560,北海道,オホーツク総合振興局,,滝上町,たきのうえちょう
01,561,01561,北海道,オホーツク総合振興局,,興部町,おこっぺちょう
01,562,01562,北海道,オホーツク総合振興局,,西興部村,にしおこっぺむら
01,563,01563,北海道,オホーツク総合振興局,,雄武町,おうむちょう
